Name,MSE,PSNR,fMSE,SE,SSIM,height,width,mask_area
a3630_1_5,20.59567642211914,34.9930427975635,713.375244140625,505.748096,"tensor(0.9939, device='cuda:0')",3504,2336,236317.0
a3630_1_1,23.536142349243164,34.41345060362272,815.224609375,577.954304,"tensor(0.9957, device='cuda:0')",3504,2336,236317.0
a3630_1_2,22.371259689331055,34.633899022521646,774.8763427734375,549.349376,"tensor(0.9963, device='cuda:0')",3504,2336,236317.0
a3630_1_3,15.583205223083496,36.20423542849961,539.7576293945312,382.661696,"tensor(0.9960, device='cuda:0')",3504,2336,236317.0
a3630_1_4,43.395477294921875,31.75635881444565,1503.0950927734375,1065.620736,"tensor(0.9954, device='cuda:0')",3504,2336,236317.0
a3259_1_2,8.616226196289062,38.777632187681256,173.68850708007812,311.55392,"tensor(0.9946, device='cuda:0')",2832,4256,597917.0
a3259_1_1,10.26793098449707,38.015973776561395,206.9840545654297,371.277856,"tensor(0.9944, device='cuda:0')",2832,4256,597917.0
a3259_1_3,3.7537031173706055,42.38620324137608,75.66828918457031,135.730064,"tensor(0.9967, device='cuda:0')",2832,4256,597917.0
a3259_1_4,6.667460918426514,39.89119816995604,134.40469360351562,241.08856,"tensor(0.9944, device='cuda:0')",2832,4256,597917.0
a3259_1_5,4.932827949523926,41.19984304713664,99.43744659423828,178.366016,"tensor(0.9955, device='cuda:0')",2832,4256,597917.0
a3242_1_4,2.3400464057922363,44.43855705224675,53.454612731933594,89.293472,"tensor(0.9973, device='cuda:0')",2912,4368,556818.0
a3242_1_1,1.9427207708358765,45.246697538053986,44.37834548950195,74.131984,"tensor(0.9970, device='cuda:0')",2912,4368,556818.0
a3242_1_2,2.9814529418945312,43.38652256203612,68.10652160644531,113.768808,"tensor(0.9961, device='cuda:0')",2912,4368,556818.0
a3242_1_3,4.912589073181152,41.2176983454765,112.22023010253906,187.458736,"tensor(0.9950, device='cuda:0')",2912,4368,556818.0
a3242_1_5,5.102281093597412,41.05315894774073,116.5534439086914,194.697168,"tensor(0.9946, device='cuda:0')",2912,4368,556818.0
a1803_1_1,14.096268653869629,36.639761619063876,296.426025390625,507.465664,"tensor(0.9871, device='cuda:0')",4000,3000,570649.0
a1803_1_2,15.725610733032227,36.1647281218063,330.68896484375,566.121984,"tensor(0.9886, device='cuda:0')",4000,3000,570649.0
a1803_1_3,12.448163986206055,37.179750251069336,261.7685546875,448.133888,"tensor(0.9884, device='cuda:0')",4000,3000,570649.0
a1803_1_4,16.479711532592773,35.96130729149869,346.5467224121094,593.269632,"tensor(0.9883, device='cuda:0')",4000,3000,570649.0
a1803_1_5,10.73442554473877,37.82301512385144,225.7308807373047,386.439296,"tensor(0.9904, device='cuda:0')",4000,3000,570649.0
a3718_1_2,0.6350374221801758,50.102803583538496,267.1891174316406,19.199142,"tensor(0.9998, device='cuda:0')",2592,3888,23952.0
a3718_1_1,0.9141718745231628,48.52052030175464,384.6336975097656,27.638238,"tensor(0.9998, device='cuda:0')",2592,3888,23952.0
a3718_1_3,0.7748779058456421,49.23846522403026,326.0263977050781,23.426952,"tensor(0.9997, device='cuda:0')",2592,3888,23952.0
a3718_1_4,0.5771044492721558,50.518251857488956,242.81410217285156,17.44765,"tensor(0.9998, device='cuda:0')",2592,3888,23952.0
a3718_1_5,0.2939611077308655,53.44789008224382,123.68280792236328,8.887352,"tensor(0.9997, device='cuda:0')",2592,3888,23952.0
a3569_1_3,3.161869764328003,43.13136245899876,222.24490356445312,95.593088,"tensor(0.9984, device='cuda:0')",3888,2592,143375.0
a3569_1_1,2.4305291175842285,44.27379353922851,170.8396453857422,73.4824,"tensor(0.9985, device='cuda:0')",3888,2592,143375.0
a3569_1_2,5.636382102966309,40.62079856584998,396.1760559082031,170.405232,"tensor(0.9977, device='cuda:0')",3888,2592,143375.0
a3569_1_4,2.149951457977295,44.80651504425051,151.11810302734375,64.999672,"tensor(0.9989, device='cuda:0')",3888,2592,143375.0
a3569_1_5,3.135774850845337,43.167353496553,220.4107208251953,94.80416,"tensor(0.9976, device='cuda:0')",3888,2592,143375.0
a4379_1_2,15.707696914672852,36.169678203991566,378.96588134765625,990.824448,"tensor(0.9762, device='cuda:0')",5616,3744,871516.0
