Name,MSE,PSNR,fMSE,SE,SSIM,height,width,mask_area
c21070_1396052_1,4.7656426429748535,41.349587965620046,170.4276123046875,4.11751525,0.9977132081985474,450,640,8053.3017578125
c456071_1115286_1,8.694526672363281,38.738343668072666,699.551025390625,7.128121,0.9989176988601685,427,640,3396.521728515625
c368875_1117154_1,3.274153470993042,42.979811957744715,276.40753173828125,3.01745975,0.9973758459091187,640,480,3638.902099609375
c398850_1059379_1,5.409437656402588,40.79928160655143,224.29788208007812,4.31024,0.9968998432159424,415,640,6405.529296875
c231679_1260859_1,3.034083366394043,43.310527081647336,218.1151885986328,1.706671875,0.9985837936401367,375,500,2608.2119140625
c395241_508445_2,51.982364654541016,30.972243210369825,1218.2713623046875,39.922456,0.9889720678329468,400,640,10923.251953125
c395241_508445_1,7.284429550170898,39.5068475377834,170.71966552734375,5.594442,0.9982608556747437,400,640,10923.251953125
c76841_1444547_2,40.16614532470703,32.09220194812093,1322.192138671875,37.01712,0.9971356391906738,480,640,9332.259765625
c76841_1444547_1,4.498297691345215,41.600320712409165,148.07528686523438,4.145631,0.9971685409545898,480,640,9332.259765625
c367695_62983_1,4.594949722290039,41.50799502632673,123.8952865600586,3.76712375,0.9949905872344971,427,640,10135.2353515625
c49660_1318540_1,3.154688835144043,43.14123694437395,280.9429626464844,1.580499125,0.9993461966514587,500,334,1875.2313232421875
c522101_1546294_2,14.704985618591309,36.456157272288074,831.531005859375,12.366304,0.9943761229515076,438,640,4957.2431640625
c313789_1542905_1,3.4994585514068604,42.69079382793394,270.5710144042969,1.973694625,0.9983824491500854,376,500,2431.517578125
c300684_900100300684_1,4.399109363555908,41.6971550330521,94.8014907836914,2.1907565,0.9978885054588318,332,500,7702.9609375
c515062_1929848_1,3.673893928527832,42.479536293154005,128.03977966308594,3.39996825,0.9980361461639404,482,640,8851.3330078125
c510359_450725_1,1.8049077987670898,45.56625098777409,175.63401794433594,1.663403,0.9983925819396973,640,480,3156.94921875
c450684_1858498_2,8.14163589477539,39.02368631298101,356.16107177734375,4.57967,0.9972459077835083,375,500,4286.14111328125
c450684_1858498_1,3.6818089485168457,42.47018993984176,161.06309509277344,2.0710175,0.9984966516494751,375,500,4286.14111328125
c345370_249187_1,9.623453140258789,38.297493798067705,285.3792724609375,8.868974,0.9948012232780457,480,640,10359.2822265625
c355650_1570173_1,1.7455835342407227,45.711394754259274,173.43099975585938,1.60872975,0.9984378218650818,640,480,3091.96875
c336991_21419_1,5.3963704109191895,40.80978528066392,449.9263000488281,4.973295,0.9982516169548035,480,640,3684.525634765625
c336991_21419_2,2.087099313735962,44.93537037506813,174.01341247558594,1.923470625,0.9995107054710388,480,640,3684.525634765625
c109568_689369_1,9.825906753540039,38.207076782436026,312.34442138671875,12.074074,0.9953435659408569,640,640,12885.427734375
c109568_689369_2,15.57426643371582,36.20672732950965,495.0723876953125,19.137658,0.9947481155395508,640,640,12885.427734375
c1781_1566404_2,11.884989738464355,37.38081513233277,1004.8866577148438,10.953206,0.9969748854637146,480,640,3633.313720703125
c1781_1566404_1,5.438444137573242,40.77605609091261,459.8254089355469,5.01207,0.9973804354667664,480,640,3633.313720703125
c132265_273872_2,2.2697699069976807,44.57098335766262,93.44261932373047,1.69960375,0.9977631568908691,390,640,6062.9140625
c132265_273872_1,1.6632506847381592,45.92122388844749,68.4732437133789,1.245442125,0.9987589716911316,390,640,6062.9140625
c13517_1412943_3,3.4727001190185547,42.72412953873474,342.306396484375,3.20044025,0.9994959831237793,480,640,3116.545166015625
c13517_1412943_1,3.8435285091400146,42.28350141103973,378.8592224121094,3.54219575,0.9995824098587036,480,640,3116.545166015625
c13517_1412943_2,3.4084136486053467,42.80527937728926,335.96966552734375,3.141194,0.9996039867401123,480,640,3116.545166015625
c104466_655900_1,4.791563987731934,41.32602978031569,223.9613800048828,3.919116,0.9991711974143982,426,640,5833.0234375
c121682_682372_1,5.5419230461120605,40.694197915293216,342.3193054199219,5.107436,0.9983068704605103,480,640,4973.36474609375
c324654_1061971_1,3.7983157634735107,42.33489180642758,209.61473083496094,3.36925825,0.9974210262298584,640,462,5357.85888671875
c121016_1562397_2,4.200550079345703,41.89774090703561,357.0214538574219,3.435714,0.9978415966033936,640,426,3207.7568359375
c121016_1562397_1,1.7294718027114868,45.75166624078211,146.9946746826172,1.4145695,0.9986655712127686,640,426,3207.7568359375
c121016_1562397_3,1.5001373291015625,46.369490532818304,127.50262451171875,1.22699225,0.9985620379447937,640,426,3207.7568359375
c574349_1399382_1,2.7029531002044678,43.81241690010906,102.94991302490234,2.4910415,0.9985517859458923,480,640,8065.544921875
c236515_1119375_1,5.4863152503967285,40.73799522629735,157.17050170898438,5.056188,0.997299313545227,480,640,10723.361328125
c184940_689539_1,21.37177848815918,34.83239676340091,625.5126953125,24.014014,0.9947738647460938,612,612,12796.9765625
c258702_248213_1,17.856660842895508,35.6128008653434,557.2008666992188,12.342524,0.9942431449890137,360,640,7383.64697265625
c287094_1566693_1,12.459493637084961,37.17579933374321,516.4151000976562,13.999886,0.9945030212402344,612,612,9036.5849609375
c11826_558895_1,3.395049810409546,42.82234082541415,197.75503540039062,3.12887775,0.998180091381073,480,640,5273.99609375
c11826_558895_2,2.9693100452423096,43.40424667092413,172.95651245117188,2.736516,0.9992399215698242,480,640,5273.99609375
c290704_601091_1,6.015964508056641,40.33775023261654,519.7474365234375,4.9205775,0.9967991709709167,426,640,3155.7490234375
c6005_597006_2,9.854326248168945,38.194533803885165,286.5254211425781,9.100667,0.996573805809021,481,640,10587.3876953125
c6005_597006_1,8.854212760925293,38.65930358238672,257.4460144042969,8.177043,0.9971511363983154,481,640,10587.3876953125
c176312_1174235_1,4.811673641204834,41.30784107600473,198.84326171875,4.60073,0.9983798861503601,640,498,7712.490234375
c176312_1174235_2,10.091684341430664,38.09116660105485,417.0406188964844,9.649265,0.9971935153007507,640,498,7712.490234375
c137704_1566547_1,14.447225570678711,36.532958771424774,1361.8748779296875,8.126564,0.9963590502738953,500,375,1989.0628662109375
c349208_648509_1,2.289696216583252,44.53302304668257,140.6011962890625,1.87278825,0.9974883794784546,426,640,4439.953125
c53595_65887_1,2.230809211730957,44.64617737022452,92.31128692626953,1.81605725,0.9965857267379761,424,640,6557.7294921875
c487421_1061365_1,5.888803005218506,40.43053260762636,206.8938751220703,5.3479755,0.9978052377700806,473,640,8616.2939453125
c172051_1561338_1,2.4715821743011475,44.20105130844644,156.99583435058594,2.27781,0.9987272620201111,480,640,4836.2431640625
c228335_1126429_1,6.127021312713623,40.25830898967365,162.69549560546875,3.4648305,0.9979355335235596,377,500,7098.8046875
c280898_223959_1,4.832003116607666,41.28953065259133,428.8080139160156,3.9614695,0.9981001615524292,427,640,3079.443115234375
c212303_513647_1,2.227701187133789,44.652232296307744,222.15443420410156,2.053049375,0.9989466667175293,480,640,3080.513671875
c225566_679670_1,10.578014373779297,37.88676166993541,733.0730590820312,9.748698,0.9975716471672058,480,640,4432.7998046875
c127450_143680_1,12.381551742553711,37.203052488787286,374.7636413574219,8.700764,0.9950600862503052,366,640,7738.89013671875
c401225_1765432_1,2.606713056564331,43.969869670095775,176.15289306640625,1.801760125,0.9989551901817322,360,640,3409.462646484375
c578308_1077260_1,11.801025390625,37.411605792906485,659.5283203125,13.26001,0.9987092018127441,612,612,6701.7646484375
c89268_1097698_1,11.906904220581055,37.37281464227939,275.7265625,8.230052,0.9923059344291687,360,640,9949.533203125
c157153_268231_1,24.19935417175293,34.29276567163535,497.5304260253906,29.736166,0.9911794662475586,640,640,19922.509765625
c536058_1886334_1,3.967329978942871,42.1458192738836,239.3896942138672,4.457819,0.9986832141876221,612,612,6207.19970703125
c81317_360892_1,12.280013084411621,37.238814959537436,324.8490905761719,10.067646,0.9937712550163269,427,640,10330.587890625
c450592_183875_1,5.11467981338501,41.0426182454229,278.21142578125,3.95753475,0.997510552406311,403,640,4741.63916015625
c459644_1174836_1,3.4488775730133057,42.75402456729167,194.44610595703125,2.82752775,0.9989056587219238,427,640,4847.14892578125
c211644_1735898_1,15.817154884338379,36.13951966079297,444.0205383300781,14.57709,0.9925642013549805,480,640,10943.2548828125
c321700_1300752_1,4.3627166748046875,41.73323251534919,150.05006408691406,2.179177,0.9981533885002136,333,500,4841.0
c119665_71069_1,3.90086030960083,42.21919851095926,227.4164581298828,4.793377,0.9964868426322937,640,640,7025.84326171875
c119665_71069_2,2.689197540283203,43.83457494023407,156.7776641845703,3.30448575,0.9978117942810059,640,640,7025.84326171875
c307262_1077610_1,25.542991638183594,34.05808582658199,738.4774169921875,28.54276,0.9908949136734009,582,640,12883.6083984375
c385663_111828_1,7.168942928314209,39.576251772902104,251.35826110839844,6.1802025,0.9927641153335571,449,640,8195.7421875
c367428_66250_1,10.013428688049316,38.12497508215483,709.8539428710938,8.2286355,0.9979817271232605,428,640,3864.00390625
c186892_1569204_2,5.247245788574219,40.931488704459156,520.6860961914062,4.271678,0.9984833002090454,424,640,2734.647216796875
c186892_1569204_1,6.583217144012451,39.94642114590779,653.2549438476562,5.3592655,0.9976285696029663,424,640,2734.647216796875
c397675_591532_1,4.438826084136963,41.65812133587043,158.20111083984375,4.090822,0.9991241693496704,480,640,8619.455078125
c397675_591532_2,5.559252738952637,40.68063864035307,198.13343811035156,5.123407,0.9989215731620789,480,640,8619.455078125
c397675_591532_3,8.64781379699707,38.76173980744058,308.210693359375,7.969825,0.9971444606781006,480,640,8619.455078125
c508262_379420_1,3.2194061279296875,43.05304459599239,264.0790710449219,1.60326425,0.9990999102592468,332,500,2023.717529296875
c235652_1929574_1,11.201387405395508,37.63808504319955,281.2223205566406,10.323198,0.994537353515625,480,640,12236.10546875
c432372_1070398_1,3.957620620727539,42.15646090928145,82.82276916503906,3.237017,0.9976072311401367,426,640,13027.88671875
c407699_1055852_1,2.2355196475982666,44.63701675437476,151.99423217773438,2.060254875,0.9986987113952637,480,640,4518.2744140625
c228647_207079_1,2.833015203475952,43.60831302386983,89.08860778808594,2.46404325,0.9985215067863464,453,640,9219.447265625
c78915_1293762_1,1.742498517036438,45.71907694469995,171.19256591796875,1.60923225,0.9991374015808105,640,481,3133.37646484375
c208067_409745_1,1.8351107835769653,45.494178369598984,170.85813903808594,1.4904035,0.9982757568359375,423,640,2907.682373046875
c340039_1714761_1,4.750969886779785,41.36297991730462,276.8764343261719,2.180695,0.9987784624099731,500,306,2625.352783203125
c64342_2196079_1,5.15116548538208,41.01174774389716,148.62342834472656,4.242912,0.997657299041748,429,640,9516.0234375
c336843_1070246_1,11.98017406463623,37.34617196483234,287.4218444824219,9.821826,0.9930325746536255,427,640,11390.7216796875
c207751_174843_1,7.226871967315674,39.54129940033771,258.2464904785156,5.9387545,0.9983142614364624,428,640,7665.486328125
c207751_174843_2,22.774091720581055,34.55639276399329,813.8139038085938,18.714838,0.9937678575515747,428,640,7665.486328125
c297906_348344_1,4.225276947021484,41.87225077904729,267.3442077636719,3.464051,0.9989984035491943,427,640,4319.08984375
